source_row,composition,reference_id,reference_text,composition_match_ambiguous_within_reference,TC,H,dS,dS_ref,RC,dX,VEC,sigma,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
13,GdTbHoEr,[4],"S.F. Lu, L. Ma, J. Wang, Y.S. Du, L. Li, J.T. Zhao, G.H. Rao, Effect of configuration entropy on magnetocaloric effect of rare earth high-entropy alloy, J. Alloys Compd. 874 (2021). https://doi.org/10.1016/j.jallcom.2021.159918.",False,190.0,5.0,8.64,8.64,924.48,0.0570173946791678,3.0,0.9643406874906084,0.0,11.42670144483861,6.5,0.0,0.25,0.0,1683.0,0.04
14,GdTbHoErLa,[4],"S.F. Lu, L. Ma, J. Wang, Y.S. Du, L. Li, J.T. Zhao, G.H. Rao, Effect of configuration entropy on magnetocaloric effect of rare earth high-entropy alloy, J. Alloys Compd. 874 (2021). https://doi.org/10.1016/j.jallcom.2021.159918.",False,127.0,5.0,5.92,5.92,390.72,0.0619653397452962,2.9925,2.489627217050669,0.163296,13.36283894617653,7.0,0.0,0.4,0.0,1585.0,0.1399999999999999
15,GdTbHoErLaY,[4],"S.F. Lu, L. Ma, J. Wang, Y.S. Du, L. Li, J.T. Zhao, G.H. Rao, Effect of configuration entropy on magnetocaloric effect of rare earth high-entropy alloy, J. Alloys Compd. 874 (2021). https://doi.org/10.1016/j.jallcom.2021.159918.",False,120.0,5.0,5.85,5.85,245.7,0.059222803243683,3.0003,2.259946937318165,0.11537568,14.89425976717486,7.333333333333332,0.0,0.5,0.0,1620.666666666667,0.1399999999999999
16,GdTbHoErPr,[4],"S.F. Lu, L. Ma, J. Wang, Y.S. Du, L. Li, J.T. Zhao, G.H. Rao, Effect of configuration entropy on magnetocaloric effect of rare earth high-entropy alloy, J. Alloys Compd. 874 (2021). https://doi.org/10.1016/j.jallcom.2021.159918.",False,135.0,5.0,6.92,6.92,498.24,0.0555442494233201,3.0,3.04188408733199,0.0,13.37745461469495,7.4,0.0,0.2,0.0,1587.2,0.1100000000000001
17,Gd20Dy20Er20Ho20Tb20,[5],"Y. Yuan, Y. Wu, X. Tong, H. Zhang, H. Wang, X.J. Liu, L. Ma, H.L. Suo, Z.P. Lu, Rare-earth high-entropy alloys with giant magnetocaloric effect, Acta Mater. 125 (2017) 481–489. https://doi.org/10.1016/j.actamat.2016.12.021.",False,186.0,5.0,8.6,8.6,627.0,0.050754310161798,3.0,0.8553072992371988,0.0,13.38167152293333,6.093641000000001,0.0,0.206154,0.0,1681.828611,0.04
18,Gd25Er25Ho25Tb25,[5],"Y. Yuan, Y. Wu, X. Tong, H. Zhang, H. Wang, X.J. Liu, L. Ma, H.L. Suo, Z.P. Lu, Rare-earth high-entropy alloys with giant magnetocaloric effect, Acta Mater. 125 (2017) 481–489. https://doi.org/10.1016/j.actamat.2016.12.021.",False,139.0,3.0,4.8,7.651675827681369,137.0,0.0553962995154008,3.0,0.9547198737507364,0.0,11.52634446553133,6.615397384602614,0.0,0.2575297424702575,0.0,1681.038302961697,0.04
19,Dy25Er25Ho25Tb25,[5],"Y. Yuan, Y. Wu, X. Tong, H. Zhang, H. Wang, X.J. Liu, L. Ma, H.L. Suo, Z.P. Lu, Rare-earth high-entropy alloys with giant magnetocaloric effect, Acta Mater. 125 (2017) 481–489. https://doi.org/10.1016/j.actamat.2016.12.021.",False,52.0,3.0,0.65,1.0361644349985188,27.3,0.056734028589551,3.0,0.5262462752447677,0.0,11.52634446553133,3.521056,0.0,0.0,0.0,1706.714396,0.03
20,Er33.33Ho33.33Tb33.34,[5],"Y. Yuan, Y. Wu, X. Tong, H. Zhang, H. Wang, X.J. Liu, L. Ma, H.L. Suo, Z.P. Lu, Rare-earth high-entropy alloys with giant magnetocaloric effect, Acta Mater. 125 (2017) 481–489. https://doi.org/10.1016/j.actamat.2016.12.021.",False,88.0,3.0,3.0,4.782297392300856,150.0,0.0637735832378892,3.0,0.5812389388448725,0.0,9.13441179098877,3.360467,0.0,0.0,0.0,1713.994107,0.03
21,Gd10Tb10Dy10Ho10Er10Y10Ni10Co10Ag10Al10,[6],"J. Huo, J.Q. Wang, W.H. Wang, Denary high entropy metallic glass with large magnetocaloric effect, J. Alloys Compd. 776 (2019) 202–206. https://doi.org/10.1016/j.jallcom.2018.10.328.",False,29.0,5.0,10.64,10.64,532.0,0.3218136106506373,5.100000000000001,13.86151638853738,-29.68,19.144843755699,4.645491354508646,0.2974593587536413,2.984405015594985,0.0,1450.584396195604,0.73
26,Ho20Er20Co20Al20Gd20,[7],"J. Huo, L. Huo, J. Li, H. Men, X. Wang, A. Inoue, C. Chang, J.Q. Wang, R.W. Li, High-entropy bulk metallic glasses as promising magnetic refrigerants, J. Appl. Phys. 117 (2015). https://doi.org/10.1063/1.4908286.",False,37.0,5.0,11.2,11.2,627.0,0.2697702726395182,4.2,13.74851532583833,-32.32,13.38167152293333,5.082190082190082,0.362754516893717,1.727660727660728,0.0,1323.411236361236,0.6799999999999999
27,Ho20Er20Co20Al20Dy20,[7],"J. Huo, L. Huo, J. Li, H. Men, X. Wang, A. Inoue, C. Chang, J.Q. Wang, R.W. Li, High-entropy bulk metallic glasses as promising magnetic refrigerants, J. Appl. Phys. 117 (2015). https://doi.org/10.1063/1.4908286.",False,18.0,5.0,12.6,12.6,468.0,0.2664282267328294,4.2,13.50139359386404,-32.32,13.38167152293333,4.028704971295029,0.3637866206429794,1.644529355470645,0.0,1331.099781170219,0.6599999999999999
28,Ho20Er20Co20Al20Tm20,[7],"J. Huo, L. Huo, J. Li, H. Men, X. Wang, A. Inoue, C. Chang, J.Q. Wang, R.W. Li, High-entropy bulk metallic glasses as promising magnetic refrigerants, J. Appl. Phys. 117 (2015). https://doi.org/10.1063/1.4908286.",False,9.0,5.0,15.0,15.0,375.0,0.2617938119971517,4.2,12.63360579930292,-32.48,13.38167152293333,3.782128217871783,0.3649711999264001,1.64988435011565,0.0,1340.883042756957,0.6499999999999999
29,Gd25Co25Al25Y25,[8],"C.M. Pang, L. Chen, H. Xu, W. Guo, Z.W. Lv, J.T. Huo, M.J. Cai, B.L. Shen, X.L. Wang, C.C. Yuan, Effect of Dy, Ho, and Er substitution on the magnetocaloric properties of Gd-Co-Al-Y high entropy bulk metallic glasses, J. Alloys Compd. 827 (2020). https://doi.org/10.1016/j.jallcom.2020.154101.",False,39.0,5.0,6.02,6.02,413.0,0.2841104538731371,4.5,15.19164999928034,-35.25,11.52634446553133,6.130784000000001,0.3667755338456001,1.903821,0.0,1324.96123279,0.6799999999999999
30,Gd25Co25Al25Y15Dy10,[8],"C.M. Pang, L. Chen, H. Xu, W. Guo, Z.W. Lv, J.T. Huo, M.J. Cai, B.L. Shen, X.L. Wang, C.C. Yuan, Effect of Dy, Ho, and Er substitution on the magnetocaloric properties of Gd-Co-Al-Y high entropy bulk metallic glasses, J. Alloys Compd. 827 (2020). https://doi.org/10.1016/j.jallcom.2020.154101.",False,44.0,5.0,6.76,6.76,424.0,0.2841104538731371,4.5,15.05497129749608,-35.35,12.92528334186844,5.869954,0.3775126331464,1.894912,0.0,1307.05153641,0.6799999999999999
31,Gd25Co25Al25Y15Ho10,[8],"C.M. Pang, L. Chen, H. Xu, W. Guo, Z.W. Lv, J.T. Huo, M.J. Cai, B.L. Shen, X.L. Wang, C.C. Yuan, Effect of Dy, Ho, and Er substitution on the magnetocaloric properties of Gd-Co-Al-Y high entropy bulk metallic glasses, J. Alloys Compd. 827 (2020). https://doi.org/10.1016/j.jallcom.2020.154101.",False,41.0,5.0,7.35,7.35,488.0,0.2832185551830953,4.5,15.01901263991558,-35.25,12.92528334186844,5.836067,0.3777092889888,1.895899,0.0,1309.01566807,0.6799999999999999
32,Gd25Co25Al25Y15Er10,[8],"C.M. Pang, L. Chen, H. Xu, W. Guo, Z.W. Lv, J.T. Huo, M.J. Cai, B.L. Shen, X.L. Wang, C.C. Yuan, Effect of Dy, Ho, and Er substitution on the magnetocaloric properties of Gd-Co-Al-Y high entropy bulk metallic glasses, J. Alloys Compd. 827 (2020). https://doi.org/10.1016/j.jallcom.2020.154101.",False,43.0,5.0,6.96,6.96,477.0,0.2823557153662733,4.5,14.9760367160657,-35.45,12.92528334186844,5.803047196952803,0.3778931791684209,1.896822103177897,0.0,1309.594397205603,0.6799999999999999
33,Gd25Co25Al25Ho24Y1,[9],"C.M. Pang, C.C. Yuan, L. Chen, H. Xu, K. Guo, J.C. He, Y. Li, M.S. Wei, X.M. Wang, J.T. Huo, B.L. Shen, Effect of Yttrium addition on magnetocaloric properties of Gd-Co-Al-Ho high entropy metallic glasses, J. Non. Cryst. Solids 549 (2020). https://doi.org/10.1016/j.jnoncrysol.2020.120354.",False,51.0,5.0,8.63,8.63,555.0,0.281959199176051,4.5,14.76501942408995,-35.25,11.87543736961528,5.39264,0.3941617954888,1.88399,0.0,1285.02610842,0.6799999999999999
34,Gd25Co25Al25Ho20Y5,[9],"C.M. Pang, C.C. Yuan, L. Chen, H. Xu, K. Guo, J.C. He, Y. Li, M.S. Wei, X.M. Wang, J.T. Huo, B.L. Shen, Effect of Yttrium addition on magnetocaloric properties of Gd-Co-Al-Ho high entropy metallic glasses, J. Non. Cryst. Solids 549 (2020). https://doi.org/10.1016/j.jnoncrysol.2020.120354.",False,49.0,5.0,8.79,8.79,547.0,0.2823202968261403,4.5,14.83909758235876,-35.25,12.5664934531584,5.523234,0.389316629104,1.887498,0.0,1292.09107144,0.6799999999999999
35,Gd25Co25Al25Ho15Y10,[9],"C.M. Pang, C.C. Yuan, L. Chen, H. Xu, K. Guo, J.C. He, Y. Li, M.S. Wei, X.M. Wang, J.T. Huo, B.L. Shen, Effect of Yttrium addition on magnetocaloric properties of Gd-Co-Al-Ho high entropy metallic glasses, J. Non. Cryst. Solids 549 (2020). https://doi.org/10.1016/j.jnoncrysol.2020.120354.",False,47.0,5.0,7.61,7.61,490.0,0.2827702247408662,4.5,14.92998518517863,-35.25,12.92528334186844,5.682015999999999,0.383424696188,1.89176,0.0,1300.68116921,0.6799999999999999
37,Gd20Dy20Er20Co20Al20,[10],"L. Shao, Q. Wang, L. Xue, M. Zhu, A. Wang, J. Luan, K. Yin, Q. Luo, Q. Zeng, L. Sun, B. Shen, Effects of minor Si addition on structural heterogeneity and glass formation of GdDyErCoAl high-entropy bulk metallic glass, Journal of Materials Research and Technology 11 (2021) 378–391. https://doi.org/10.1016/j.jmrt.2021.01.035.",True,44.0,2.0,4.1,9.463344238776946,0.0,0.2712931993250107,4.200000000000001,13.8107620480647,-32.64000000000001,13.38167152293333,5.164437000000001,0.3623004520776,1.725498,0.0,1318.67974562,0.6799999999999999
39,(Gd20Dy20Er20Co20Al20)Si0.5,[10],"L. Shao, Q. Wang, L. Xue, M. Zhu, A. Wang, J. Luan, K. Yin, Q. Luo, Q. Zeng, L. Sun, B. Shen, Effects of minor Si addition on structural heterogeneity and glass formation of GdDyErCoAl high-entropy bulk metallic glass, Journal of Materials Research and Technology 11 (2021) 378–391. https://doi.org/10.1016/j.jmrt.2021.01.035.",False,44.0,2.0,4.6,10.6174106093595,0.0,0.2734054704097926,4.220000000000001,13.91083452088716,-33.59200000000001,13.60193582165415,5.15032215032215,0.3579077971909972,1.704577704577705,0.0093726343726343,1323.145631175631,0.7
41,(Gd20Dy20Er20Co20Al20)Si1,[10],"L. Shao, Q. Wang, L. Xue, M. Zhu, A. Wang, J. Luan, K. Yin, Q. Luo, Q. Zeng, L. Sun, B. Shen, Effects of minor Si addition on structural heterogeneity and glass formation of GdDyErCoAl high-entropy bulk metallic glass, Journal of Materials Research and Technology 11 (2021) 378–391. https://doi.org/10.1016/j.jmrt.2021.01.035.",False,44.0,2.0,4.1,9.463344238776946,0.0,0.2756719245770233,4.240000000000001,14.0249404892618,-34.70400000000001,13.76456839804731,5.136536,0.3536197225304,1.684155,0.01852108,1327.50497647,0.7
43,(Gd20Dy20Er20Co20Al20)Si3,[10],"L. Shao, Q. Wang, L. Xue, M. Zhu, A. Wang, J. Luan, K. Yin, Q. Luo, Q. Zeng, L. Sun, B. Shen, Effects of minor Si addition on structural heterogeneity and glass formation of GdDyErCoAl high-entropy bulk metallic glass, Journal of Materials Research and Technology 11 (2021) 378–391. https://doi.org/10.1016/j.jmrt.2021.01.035.",False,44.0,2.0,4.0,9.232530964660436,0.0,0.2862971707858811,4.320000000000001,14.61098900134759,-39.15200000000001,14.25632979205134,5.941748058251942,0.3006740945859054,1.553398446601553,0.0225143754856245,1552.528121721878,0.7
45,(Gd36Tb20Co20Al24)97Fe3(micro_100),[11],"H. Yin, J.Y. Law, Y. Huang, H. Shen, S. Jiang, S. Guo, V. Franco, J. Sun, Enhancing the magnetocaloric response of high-entropy metallic-glass by microstructural control, Sci. China Mater. 65 (2022) 1134–1142. https://doi.org/10.1007/s40843-021-1825-1.",False,98.0,0.5,0.74,6.054591508357336,0.0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0.0,1280.46055753,0.6799999999999999
46,(Gd36Tb20Co20Al24)97Fe3(micro_70),[11],"H. Yin, J.Y. Law, Y. Huang, H. Shen, S. Jiang, S. Guo, V. Franco, J. Sun, Enhancing the magnetocaloric response of high-entropy metallic-glass by microstructural control, Sci. China Mater. 65 (2022) 1134–1142. https://doi.org/10.1007/s40843-021-1825-1.",False,102.0,0.5,1.03,8.427336829200076,0.0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0.0,1280.46055753,0.6799999999999999
53,(Gd36Tb20Co20Al24)97Fe3(micro_100),[11],"H. Yin, J.Y. Law, Y. Huang, H. Shen, S. Jiang, S. Guo, V. Franco, J. Sun, Enhancing the magnetocaloric response of high-entropy metallic-glass by microstructural control, Sci. China Mater. 65 (2022) 1134–1142. https://doi.org/10.1007/s40843-021-1825-1.",False,99.0,5.0,5.94,5.94,573.0,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.04103712794456,6.08855,0.391934341194,1.791789,0.0,1280.46055753,0.6799999999999999
57,V0.85FeCoNiCu1.15,[12],"B.G.F. Eggert, E.K. Delczeg-Czirjak, F. Maccari, S. Kumar, O. Gutfleisch, H. Fjellvåg, B.C. Hauback, C. Frommen, Exploring V-Fe-Co-Ni-Al and V-Fe-Co-Ni-Cu high entropy alloys for magnetocaloric applications, J. Alloys Compd. 921 (2022). https://doi.org/10.1016/j.jallcom.2022.166040.",False,329.0,1.0,0.15,0.6518508162661288,0.0,0.0956943551104243,8.82,2.275182643506502,0.1259999999999992,13.22384377033875,3.220000000000001,0.8509057400000002,7.01,0.0,1744.7971,0.28
60,(MnNiSi)1-x(FeCoGe)x x=0.4,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",True,271.0,5.0,44.9,44.9,0.0,0.1557981914065239,7.233099999999999,4.388676486218205,-27.86637736,14.65371741377966,3.666666666666667,0.7091398034482758,6.0,0.1926666666666667,1620.733333333333,0.4599999999999997
61,(MnNiSi)1-x(FeCoGe)x x=0.42,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",False,224.0,5.0,29.2,29.2,0.0,0.1542480377931592,7.214799999999999,4.309451003905262,-27.58254928,14.67500138889152,3.666666666666667,0.7091398034482758,6.0,0.1926666666666667,1620.733333333333,0.4599999999999997
62,(MnNiSi)1-x(FeCoGe)x x=0.45,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",False,232.0,5.0,1.9,1.9,0.0,0.1518239143086489,7.1886,4.188898706518099,-27.15767528,14.68109252014148,3.666666666666667,0.7091398034482758,6.0,0.1926666666666667,1620.733333333333,0.4599999999999997
63,(MnNiSi)1-x(FeCoGe)x x=0.47,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",False,235.0,5.0,2.4,2.4,0.0,0.1501257899244189,7.1693,4.106317451531512,-27.19792664,14.6645226198447,3.666666666666667,0.7091398034482758,6.0,0.1926666666666667,1620.733333333333,0.4599999999999997
64,(MnNi)0.6Si1-y(FeCo)0.4Gey  y=0.36,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",False,327.6,5.0,55.3,55.3,0.0,0.1550058877726987,7.271,4.465178585544848,-28.02061144,14.6831325836588,3.75,0.4552691231034483,5.750000000000001,0.289,1569.55,0.4599999999999997
65,(MnNi)0.6Si1-y(FeCo)0.4Gey  y=0.38,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",False,308.8,5.0,48.5,48.5,0.0,0.1554121224486686,7.252,4.426716927400428,-27.94306186,14.67074462456147,3.75,0.4552691231034483,5.750000000000001,0.289,1569.55,0.4599999999999997
66,(MnNi)0.6Si1-y(FeCo)0.4Gey  y=0.4,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",False,271.3,5.0,44.9,44.9,0.0,0.1557981914065239,7.233099999999999,4.388676486218205,-27.86637736,14.65371741377966,3.75,0.4552691231034483,5.750000000000001,0.289,1569.55,0.4599999999999997
67,(MnNi)0.6Si1-y(FeCo)0.4Gey  y=0.42,[13],"Z.G. Zheng, X.L. Chen, H.Y. Wang, S. Da, G. Wang, Z.G. Qiu, D.C. Zeng, Q.B. Xia, Giant magnetocaloric effects of MnNiSi-based high-entropy alloys near room temperature, J. Alloys Compd. 966 (2023). https://doi.org/10.1016/j.jallcom.2023.171483.",False,295.5,5.0,41.5,41.5,0.0,0.1561627132935893,7.214700000000001,4.350251394802165,-27.78133776,14.63237618545668,3.75,0.4552691231034483,5.750000000000001,0.289,1569.55,0.4599999999999997
68,Gd 20 Tb 18 Dy 18 Co 20 Al 24,[14],"L. Shao, L. Xue, Q. Luo, K. Yin, Z. Yuan, M. Zhu, T. Liang, Q. Zeng, L. Sun, B. Shen, Heterogeneous GdTbDyCoAl high-entropy alloy with distinctive magnetocaloric effect induced by hydrogenation, J. Mater. Sci. Technol. 109 (2022) 147–156. https://doi.org/10.1016/j.jmst.2021.08.076.",False,59.0,0.5,2.18,17.836499308404047,0.0,0.2937618082733015,4.2,14.10160308044423,-34.5856,13.33321970545945,5.385761,0.3325790958648001,1.583946,0.0,1267.77446568,0.6799999999999999
74,(Gd 0.2 Tb 0.18 Dy 0.18 Co 0.2 Al 0.24 ) 43 H 57,[14],"L. Shao, L. Xue, Q. Luo, K. Yin, Z. Yuan, M. Zhu, T. Liang, Q. Zeng, L. Sun, B. Shen, Heterogeneous GdTbDyCoAl high-entropy alloy with distinctive magnetocaloric effect induced by hydrogenation, J. Mater. Sci. Technol. 109 (2022) 147–156. https://doi.org/10.1016/j.jmst.2021.08.076.",False,8.0,0.5,0.8,6.545504333359283,0.0,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.42810490452828,1.052076,0.00394860156,0.018806,7.759761331,28.89578775,1.0
80,CoCuFeMnNi,[15],"A. Perrin, M. Sorescu, M.T. Burton, D.E. Laughlin, M. McHenry, The Role of Compositional Tuning of the Distributed Exchange on Magnetocaloric Properties of High-Entropy Alloys, JOM 69 (2017) 2125–2129. https://doi.org/10.1007/s11837-017-2523-3.",False,395.0,1.5,0.115,0.3451511608574964,16.5,0.1322328336071646,9.0696,3.104609091561312,2.1435828,13.37120502242268,3.0,0.8509677641379312,7.200000000000001,0.0,1636.754,0.3599999999999999
81,CoCu0.975FeMn1.025Ni,[15],"A. Perrin, M. Sorescu, M.T. Burton, D.E. Laughlin, M. McHenry, The Role of Compositional Tuning of the Distributed Exchange on Magnetocaloric Properties of High-Entropy Alloys, JOM 69 (2017) 2125–2129. https://doi.org/10.1007/s11837-017-2523-3.",False,321.0,1.5,0.094,0.2821235575704753,15.3,0.1334026364956854,9.0486,3.132578261666334,1.99827936,13.37583627128567,3.02,0.8509693147413795,7.175000000000001,0.0,1637.56015,0.3599999999999999
