Composition,Reported TC / transition (K),Transition basis,250–350,Strict 280–320,VEC–δ core,300–400,Source,External-set interpretation,TC_K,is_simulation,chemistry_stratum,validation_role,experiment_stratum,pass::250–350 K,positive::250–350 K,pass::280–320 K strict,positive::280–320 K strict,pass::280–320 K VEC–δ core,positive::280–320 K VEC–δ core,pass::300–400 K,positive::300–400 K,mag_moment_mean,avg_d_valence_electrons,melting_point_mean,pass::v2_250_350,positive_v2
Mn0.5Fe0.5Ni0.80Cu0.20Si,343.0,"FOMT, coupled magnetostructural",Pass,Fail,Pass,Pass,Guisado-Arenas et al. [29],250–350 / 300–400 overlap positive,343.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,True,False,False,True,False,True,True,0.5106007401149425,4.633333333333333,1668.6513333333332,True,True
Mn0.5Fe0.5Ni0.77Cu0.23Si,261.0,"FOMT, coupled magnetostructural",Pass,Fail,Pass,Pass,Guisado-Arenas et al. [29],Broad 250–350 K positive,261.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,True,False,False,True,False,True,False,0.5046467931149425,4.653333333333333,1664.9490333333333,True,True
FeCoNiSi0.1Mn0.3,599.0,"FM–PM, atomistic simulation",Fail,Fail,Fail,Fail,Zhai et al. [30],Above-target control,599.0,True,Simulation sensitivity records,Simulation sensitivity,Simulation,False,False,False,False,False,False,False,False,1.251359334178499,6.61764705882353,1744.5294117647059,True,False
FeCoNiSi0.2Mn0.2,636.0,"FM–PM, atomistic simulation",Fail,Fail,Fail,Fail,Zhai et al. [30],Above-target control,636.0,True,Simulation sensitivity records,Simulation sensitivity,Simulation,False,False,False,False,False,False,False,False,1.2513502129817444,6.470588235294118,1749.4705882352941,True,False
FeCoNiSi0.3Mn0.1,673.0,"FM–PM, atomistic simulation",Fail,Fail,Fail,Fail,Zhai et al. [30],Above-target control,673.0,True,Simulation sensitivity records,Simulation sensitivity,Simulation,False,False,False,False,False,False,False,False,1.2513410917849899,6.3235294117647065,1754.4117647058824,True,False
Gd36Dy20Ni20Al24,50.0,FM–PM; low-T FOMT/SG,Fail,Fail,Fail,Fail,Pei et al. [31],Below-target control,50.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.11907894000000002,1.96,1477.5928,False,False
Gd36Ho20Ni20Al24,45.0,"SOMT, FM–PM",Fail,Fail,Fail,Fail,Pei et al. [31],Below-target control,45.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.11907894000000002,1.96,1489.9928,False,False
Gd36Er20Ni20Al24,40.0,"SOMT, FM–PM",Fail,Fail,Fail,Fail,Pei et al. [31],Below-target control,40.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.11907894000000002,1.96,1494.5928,False,False
Mn0.6Ni0.6Si0.62Fe0.4Co0.4Ge0.38,309.0,"FOPT, magnetostructural",Pass,Fail,Pass,Pass,Zheng et al. [24],Exact 280–320 K target,309.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,True,False,True,True,True,True,True,0.6070254974712643,5.6,1628.6906666666666,True,True
Mn0.6Ni0.55Si0.62Fe0.4Co0.45Ge0.38,289.0,"FOPT, magnetostructural",Pass,Fail,Pass,Pass,Zheng et al. [24],Exact 280–320 K target,289.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,True,False,True,True,True,True,False,0.6229101058045977,5.583333333333334,1629.3573333333334,True,True
Mn0.6Ni0.5Si0.62Fe0.4Co0.5Ge0.38,272.0,"FOPT, magnetostructural",Pass,Fail,Pass,Pass,Zheng et al. [24],Broad 250–350 K positive,272.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,True,False,False,True,False,True,False,0.638794714137931,5.566666666666666,1630.024,True,True
Mn0.6Ni0.45Si0.62Fe0.4Co0.55Ge0.38,259.0,"SOPT, FM–PM",Pass,Fail,Pass,Pass,Zheng et al. [24],Broad 250–350 K positive,259.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,True,False,False,True,False,True,False,0.6546793224712644,5.55,1630.6906666666666,True,True
Mn0.57Fe0.43Ni0.6Co0.4Si0.62Ge0.38,250.0,"FOPT, magnetostructural",Pass,Fail,Pass,Pass,Huang et al. [32],Broad 250–350 K positive,250.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,True,False,False,True,False,True,False,0.6281290242643678,5.61,1631.6106666666665,True,True
Mn0.55Fe0.45Ni0.6Co0.4Si0.62Ge0.38,215.0,"FOPT, magnetostructural",Pass,Fail,Pass,Pass,Huang et al. [32],Below-target control,215.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,False,False,False,True,False,True,False,0.6421980421264368,5.616666666666667,1633.5573333333332,True,False
Mn0.52Fe0.48Ni0.6Co0.4Si0.62Ge0.38,210.0,"SOPT, FM–PM",Pass,Fail,Pass,Pass,Huang et al. [32],Below-target control,210.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,False,False,False,True,False,True,False,0.6633015689195403,5.626666666666667,1636.4773333333333,True,False
Mn0.50Fe0.50Ni0.6Co0.4Si0.62Ge0.38,199.0,"SOPT, FM–PM",Pass,Fail,Pass,Pass,Huang et al. [32],Below-target control,199.0,False,Mn–Ni–Si intermetallic OOD stress test,Out-of-domain intermetallic stress test,Experimental,True,False,False,False,True,False,True,False,0.6773705867816092,5.633333333333333,1638.424,True,False
GdTbDyHoErTmCoAl,35.0,"SOPT, FM–PM; spin-glass",Fail,Fail,Fail,Fail,Xue et al. [33],Below-target control,35.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.1935589,1.0,1617.05875,False,False
GdTbDyHoErTmCoNi,40.0,"SOPT, FM–PM; spin-glass",Fail,Fail,Fail,Fail,Xue et al. [33],Below-target control,40.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.2679832375,2.0,1716.375,False,False
Er20Gd20Dy20Co20Al20,43.0,"SOPT, FM–PM; spin-glass",Fail,Fail,Fail,Fail,Wei et al. [25],Below-target control,43.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.30969424,1.6,1548.4940000000001,False,False
Gd25Dy25Co25Al25,61.0,"SOPT, FM–PM; spin-glass",Fail,Fail,Fail,Fail,Wei et al. [26],Below-target control,61.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.3871178,2.0,1493.1175,False,False
Tb20Gd20Dy20Co20Al20,63.0,"SOPT, FM–PM; spin-glass",Fail,Fail,Fail,Fail,Wei et al. [26],Below-target control,63.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.30969424,1.6,1520.294,False,False
Ho20Gd20Dy20Co20Al20,47.0,"SOPT, FM–PM; spin-glass",Fail,Fail,Fail,Fail,Wei et al. [26],Below-target control,47.0,False,Experimental HEA/MEA/CCA domain,Primary in-domain HEA/MEA/CCA control,Experimental,False,False,False,False,False,False,False,False,0.30969424,1.6,1543.8940000000002,False,False
