record_id,source,doi,composition,composition_dict,state,TC_K,TC_relation,target_250_350,cohort,analysis_role,phase_state,quality_flag,transition_assignment,note,dX_direct,VEC_direct,sigma_direct,dHmix_direct,dSmix_direct,avg_d_valence_electrons_direct,mag_moment_mean_direct,rule_pass_direct,rule_checks_direct,dX_legacy,VEC_legacy,sigma_legacy,dHmix_legacy,dSmix_legacy,avg_d_valence_electrons_legacy,mag_moment_mean_legacy,rule_pass_legacy,rule_checks_legacy,entropy_class,dSmix_over_R,model_pred_TC_K,model_abs_error_K,nearest_training_distance_z,within_training_feature_ranges,mag_moment_mean,avg_d_valence_electrons,melting_point_mean,pass::v2_250_350
ROC-CU-070-R,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.75FeNiCu0.7,"{""Co"": 1, ""Cr"": 0.75, ""Fe"": 1, ""Ni"": 1, ""Cu"": 0.7}",as-rolled,367.0,exact,0,primary,classification_and_regression,multiphase,multiphase,Curie temperature,,0.0866466267347118,8.808988764044944,0.9559762991103782,2.1007448554475445,13.281581824503268,7.134831460674157,0.9560738651685392,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",0.0837363788800639,8.902010742364872,0.9883710732537688,2.547099587754764,13.27311676413352,7.134831460674157,0.9560738651685392,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",HEA (S/R ≥ 1.5),1.5974960096828563,177.57746078525454,189.42253921474543,0.1357655547495648,True,0.9560738651685393,7.134831460674157,1773.5817977528088,True
ROC-CU-070-A,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.75FeNiCu0.7,"{""Co"": 1, ""Cr"": 0.75, ""Fe"": 1, ""Ni"": 1, ""Cu"": 0.7}",annealed,378.0,exact,0,process_sensitivity,paired_process_state,multiphase,multiphase,Curie temperature,,0.0866466267347118,8.808988764044944,0.9559762991103782,2.1007448554475445,13.281581824503268,7.134831460674157,0.9560738651685392,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",0.0837363788800639,8.902010742364872,0.9883710732537688,2.547099587754764,13.27311676413352,7.134831460674157,0.9560738651685392,True,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": true}",HEA (S/R ≥ 1.5),1.5974960096828563,177.57746078525454,200.42253921474543,0.1357655547495648,True,0.9560738651685393,7.134831460674157,1773.5817977528088,True
ROC-AU-030-R,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.9FeNiAu0.3,"{""Co"": 1, ""Cr"": 0.9, ""Fe"": 1, ""Ni"": 1, ""Au"": 0.3}",as-rolled,341.0,exact,1,primary,classification_and_regression,multiphase/unalloyed noble-metal fraction,multiphase,Curie temperature,,0.205602924002254,8.5,4.000524913826175,-1.63265306122449,12.833987877305663,6.785714285714285,1.012983023809524,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.3018648301909806,8.930694217671705,6.197609809241091,1.6573344232111022,13.350392204507106,6.785714285714285,1.012983023809524,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5436598360964235,281.9084070209274,59.09159297907257,0.5987415527197829,True,1.0129830238095239,6.785714285714285,1826.237857142857,True
ROC-AU-030-A,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.9FeNiAu0.3,"{""Co"": 1, ""Cr"": 0.9, ""Fe"": 1, ""Ni"": 1, ""Au"": 0.3}",annealed,330.0,exact,1,process_sensitivity,paired_process_state,multiphase/unalloyed noble-metal fraction,multiphase,Curie temperature,,0.205602924002254,8.5,4.000524913826175,-1.63265306122449,12.833987877305663,6.785714285714285,1.012983023809524,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.3018648301909806,8.930694217671705,6.197609809241091,1.6573344232111022,13.350392204507106,6.785714285714285,1.012983023809524,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5436598360964235,281.9084070209274,48.09159297907257,0.5987415527197829,True,1.0129830238095239,6.785714285714285,1826.237857142857,True
ROC-AG-020-R,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.9FeNiAg0.2,"{""Co"": 1, ""Cr"": 0.9, ""Fe"": 1, ""Ni"": 1, ""Ag"": 0.2}",as-rolled,209.0,exact,0,primary,classification_and_regression,multiphase/unalloyed noble-metal fraction,label_flip,Curie temperature,,0.0948783622792488,8.439024390243903,3.4128157873398743,0.8233194527067227,12.57595642022143,6.707317073170732,1.0376899268292683,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.0926743047635261,8.60968774102153,4.479416910670538,4.200865332774153,12.966210975974676,6.707317073170732,1.0376899268292683,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5126240582416923,228.0546727142574,19.054672714257407,0.4713396762193422,True,1.0376899268292685,6.707317073170732,1833.167317073171,True
ROC-AG-020-A,"Rocha et al., Intermetallics 146 (2022) 107581",10.1016/j.intermet.2022.107581,CoCr0.9FeNiAg0.2,"{""Co"": 1, ""Cr"": 0.9, ""Fe"": 1, ""Ni"": 1, ""Ag"": 0.2}",annealed,295.0,exact,1,process_sensitivity,paired_process_state,multiphase/unalloyed noble-metal fraction,label_flip,Curie temperature,,0.0948783622792488,8.439024390243903,3.4128157873398743,0.8233194527067227,12.57595642022143,6.707317073170732,1.0376899268292683,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.0926743047635261,8.60968774102153,4.479416910670538,4.200865332774153,12.966210975974676,6.707317073170732,1.0376899268292683,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",HEA (S/R ≥ 1.5),1.5126240582416923,228.0546727142574,66.9453272857426,0.4713396762193422,True,1.0376899268292685,6.707317073170732,1833.167317073171,True
DAS-0-L,"Dastanpour et al., J. Alloys Compd. 984 (2024) 173977",10.1016/j.jallcom.2024.173977,Al50Cr21Mn17Co12,"{""Al"": 50, ""Cr"": 21, ""Mn"": 17, ""Co"": 12}",as-cast/characterized,268.0,exact,1,ambiguity_stress,multi_transition,BCC + B2,multi_transition,Curie temperature,Two transitions or phase-specific response prevent one-composition/one-TC benchmarking.,0.0938920124398235,5.03,5.990796704824944,-15.745599999999998,10.226003045238688,2.74,0.1858692645172413,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",0.1093922478738071,5.7570663984567005,5.981816272024711,-14.678238163257694,11.30537318515734,2.74,0.1858692645172413,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.2299739048879827,330.3884502163757,62.3884502163757,1.7021565723999057,True,0.18586926451724134,2.74,1394.925,False
DAS-0-H,"Dastanpour et al., J. Alloys Compd. 984 (2024) 173977",10.1016/j.jallcom.2024.173977,Al50Cr21Mn17Co12,"{""Al"": 50, ""Cr"": 21, ""Mn"": 17, ""Co"": 12}",as-cast/characterized,311.0,exact,1,ambiguity_stress,multi_transition,BCC + B2,multi_transition,Curie temperature,Two transitions or phase-specific response prevent one-composition/one-TC benchmarking.,0.0938920124398235,5.03,5.990796704824944,-15.745599999999998,10.226003045238688,2.74,0.1858692645172413,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",0.1093922478738071,5.7570663984567005,5.981816272024711,-14.678238163257694,11.30537318515734,2.74,0.1858692645172413,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.2299739048879827,330.3884502163757,19.388450216375706,1.7021565723999057,True,0.18586926451724134,2.74,1394.925,False
DAS-4-L,"Dastanpour et al., J. Alloys Compd. 984 (2024) 173977",10.1016/j.jallcom.2024.173977,Al50Cr17Mn21Co12,"{""Al"": 50, ""Cr"": 17, ""Mn"": 21, ""Co"": 12}",as-cast/characterized,330.0,exact,1,ambiguity_stress,multi_transition,BCC + B2,multi_transition,Curie temperature,Two transitions or phase-specific response prevent one-composition/one-TC benchmarking.,0.0955411429699267,5.07,5.748452112710068,-16.484799999999996,10.226003045238688,2.74,0.1858816693448275,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",0.1118249249499258,5.811442552928062,5.774272843113196,-15.313689470105563,11.28229919469498,2.74,0.1858816693448275,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.2299739048879827,355.3716969635456,25.37169696354556,1.7034811544830133,True,0.18588166934482755,2.74,1368.4850000000001,False
DAS-4-H,"Dastanpour et al., J. Alloys Compd. 984 (2024) 173977",10.1016/j.jallcom.2024.173977,Al50Cr17Mn21Co12,"{""Al"": 50, ""Cr"": 17, ""Mn"": 21, ""Co"": 12}",as-cast/characterized,361.0,exact,0,ambiguity_stress,multi_transition,BCC + B2,multi_transition,Curie temperature,Two transitions or phase-specific response prevent one-composition/one-TC benchmarking.,0.0955411429699267,5.07,5.748452112710068,-16.484799999999996,10.226003045238688,2.74,0.1858816693448275,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",0.1118249249499258,5.811442552928062,5.774272843113196,-15.313689470105563,11.28229919469498,2.74,0.1858816693448275,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.2299739048879827,355.3716969635456,5.62830303645444,1.7034811544830133,True,0.18588166934482755,2.74,1368.4850000000001,False
DAS-8,"Dastanpour et al., J. Alloys Compd. 984 (2024) 173977",10.1016/j.jallcom.2024.173977,Al50Cr13Mn25Co12,"{""Al"": 50, ""Cr"": 13, ""Mn"": 25, ""Co"": 12}",as-cast/characterized,367.0,exact,0,ambiguity_stress,multi_transition,BCC + B2,multi_transition,Curie temperature,Two transitions or phase-specific response prevent one-composition/one-TC benchmarking.,0.0969628279290573,5.11,5.482498839546757,-17.2496,10.083281659859562,2.74,0.1858940741724137,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",0.1138902547920552,5.865506999086055,5.536931762512436,-15.985007175911386,11.074110415419131,2.74,0.1858940741724137,False,"{""VEC"": false, ""avg_d_valence_electrons"": false, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.2128075126124085,350.8682404926494,16.13175950735058,1.761122171061304,True,0.18589407417241374,2.74,1342.045,False
MUR-12,"Murugan et al., Results Surf. Interfaces 21 (2025) 100657",10.1016/j.rsurfi.2025.100657,Ni38Co12Mn25V25,"{""Ni"": 38, ""Co"": 12, ""Mn"": 25, ""V"": 25}",as-prepared,45.0,exact,0,exclusion_log,outside_target_negative_control,Heusler-type/multicomponent,out_of_scope,Curie temperature,Ferrimagnetic transition near 45 K; MCE peak near 55 K.,0.1591949747950606,7.88,3.455384026616447,-12.409999999999998,10.935077749820625,5.88,0.4121440601724138,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",0.159596809776142,7.995314403161359,3.473433847627698,-12.16513733996545,10.894030726852725,5.88,0.4121440601724138,False,"{""VEC"": true, ""avg_d_valence_electrons"": true, ""mag_moment_mean"": false}",MEA/CCA (S/R < 1.5),1.3152607348834042,424.53861223256325,379.53861223256325,0.8492088168738471,True,0.4121440601724138,5.88,1794.3,False
